date,land_or_jeju,average_price,lowest_price,highest_price,success_amounts,sucess_deals,transaction_money,sell_amount,sell_deals,buy_amount,buy_deals,,,,,,,,,,
2017-07-6,land,124849,124500,126000,11925,98,,208004,1389,,,,,,,,,,,,
2017-07-6,jeju,112048,111900,112100,369,3,,10654,64,,,,,,,,,,,,
2017-07-6,total,124500,,,19423,101,1510347000,218658,1453,16015,28,,,,,,,,,,
2017-07-11,land,128048,124800,130000,19054,254,,359322,1704,,,,,,,,,,,,
2017-07-11,jeju,116121,115900,117800,369,8,,15765,78,,,,,,,,,,,,
2017-07-11,total,125800,,,19423,262,2482688700,375087,1782,41436,55,,,,,,,,,,
2017-07-13,land,129215,124900,130000,42021,371,,248128,1496,,,,,,,,,,,,
2017-07-13,jeju,116458,110300,118800,467,8,,11660,70,,,,,,,,,,,,
2017-07-13,total,125000,,,42488,379,5484137900,259788,1566,49705,42,,,,,,,,,,
2017-07-18,land,125542,125000,126000,8708,150,,155704,1381,,,,,,,,,,,,
2017-07-18,jeju,106500,106500,106500,92,1,,10265,57,,,,,,,,,,,,
2017-07-18,total,125900,,,8800,151,1103021300,165969,1438,26506,33,,,,,,,,,,
2017-07-20,land,128996,125100,130000,38229,380,,217961,1551,,,,,,,,,,,,
2017-07-20,jeju,114767,110800,118800,3202,21,,16636,67,,,,,,,,,,,,
2017-07-20,total,127300,,,41431,401,5298905300,234597,1618,68811,63,,,,,,,,,,
2017-07-25,land,125346,125000,126000,11169,116,,165101,1325,,,,,,,,,,,,
2017-07-25,jeju,112035,111900,112100,1561,4,,7736,49,,,,,,,,,,,,
2017-07-25,total,125200,,,12730,120,1574888400,172837,1374,20848,29,,,,,,,,,,
2017-07-27,land,126235,125000,128000,23735,383,,185261,1666,,,,,,,,,,,,
2017-07-27,jeju,115080,115000,115100,273,2,,7125,49,,,,,,,,,,,,
2017-07-27,total,125600,,,24008,385,3027623100,192386,1715,54360,50,,,,,,,,,,
2017-08-1,land,127337,123000,128000,25203,233,,231882,1624,,,,,,,,,,,,
2017-08-1,jeju,114775,114700,115400,112,3,,6819,52,,,,,,,,,,,,
2017-08-1,total,126600,,,25315,236,3222134600,238701,1676,36166,40,,,,,,,,,,
2017-08-3,land,127425,124600,128200,30908,211,,182286,1449,,,,,,,,,,,,
2017-08-3,jeju,115600,115600,115600,27,1,,10193,58,,,,,,,,,,,,
2017-08-3,total,126200,,,30935,212,3941586300,192479,1507,45897,68,,,,,,,,,,
2017-08-8,land,126957,125300,128000,20145,294,,195883,1749,,,,,,,,,,,,
2017-08-8,jeju,114663,106200,116700,1433,12,,8359,57,,,,,,,,,,,,
2017-08-8,total,125300,,,21578,306,2721871700,204242,1806,27903,60,,,,,,,,,,
2017-08-10,land,127779,123500,129000,26780,344,,190621,1571,,,,,,,,,,,,
2017-08-10,jeju,116570,115800,116800,87,3,,9523,80,,,,,,,,,,,,
2017-08-10,total,126000,,,26867,347,3432067900,200144,1651,43737,73,,,,,,,,,,
